Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2014-)","209","Eswatini","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2426","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","209","Eswatini","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","62.07","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","231","États-Unis d'Amérique","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3782","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","231","États-Unis d'Amérique","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","113.74","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","238","Éthiopie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2338","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","238","Éthiopie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","66.33","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","185","Fédération de Russie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3345","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","185","Fédération de Russie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","101.4","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","66","Fidji","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2781","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","66","Fidji","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","71.14","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","67","Finlande","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3343","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","67","Finlande","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","117.99","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","68","France","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3502","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","68","France","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","108.25","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","74","Gabon","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2633","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","74","Gabon","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","79.18","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","75","Gambie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2533","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","75","Gambie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","65.81","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","73","Géorgie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2835","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","73","Géorgie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","76.77","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","81","Ghana","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3035","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","81","Ghana","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","61.6","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","84","Grèce","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3382","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","84","Grèce","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","108.16","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","86","Grenade","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2402","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","86","Grenade","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","71.32","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","89","Guatemala","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2551","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","89","Guatemala","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","68.99","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","90","Guinée","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2746","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","90","Guinée","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","57.4","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","175","Guinée-Bissau","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2229","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","175","Guinée-Bissau","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","43.27","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","91","Guyana","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2913","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","91","Guyana","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","86.51","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","93","Haïti","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2121","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","93","Haïti","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","49.62","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","95","Honduras","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2673","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","95","Honduras","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","62.95","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","97","Hongrie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3316","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","97","Hongrie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","89.64","Fc","Donnée calculée"
